,ligand,receptor
0,BDNF,TRPC1
1,CXCL12,GNAI2
2,PF4,GNAI2
3,EPOR,TRPC3
4,EPOR,EPO
5,IL10,EPO
6,IFNG,EPO
7,KITLG,EPO
8,PTPN6,EPO
9,CSF2,EPO
10,IL1B,EPO
11,IL3,EPO
12,IL6R,EPO
13,IL9,EPO
14,KL,TRPV6
15,S100A10,TRPV6
16,RGS2,TRPV6
17,FGF3,NTRK2
18,IGF1,NTRK2
19,IGF2,NTRK2
20,FLT3LG,NTRK2
21,KITLG,NTRK2
22,EGF,NTRK2
23,NGF,NTRK2
24,TGFA,NTRK2
25,CSF1,NTRK2
26,HGF,NTRK2
27,INS,NTRK2
28,AREG,NTRK2
29,PDGFC,NTRK2
30,PDGFA,NTRK2
31,PDGFB,NTRK2
32,FGF1,NTRK2
33,FGF2,NTRK2
34,FGF4,NTRK2
35,FGF7,NTRK2
36,FGF8,NTRK2
37,FGF9,NTRK2
38,FGF10,NTRK2
39,VEGFB,NTRK2
40,EFNA1,NTRK2
41,EFNA2,NTRK2
42,EFNA5,NTRK2
43,EFNA3,NTRK2
44,EFNA4,NTRK2
45,ANGPT2,NTRK2
46,ANGPT1,NTRK2
47,ANGPT4,NTRK2
48,PDGFD,NTRK2
49,FGF6,NTRK2
50,FGF17,NTRK2
51,FGF18,NTRK2
52,FGF22,NTRK2
53,BDNF,NTRK2
54,NTF3,NTRK2
55,EREG,NTRK2
56,VEGFA,NTRK2
57,VEGFC,NTRK2
58,VEGFD,NTRK2
59,NTF4,NTRK2
60,FGF5,NTRK2
61,FGF19,NTRK2
62,FGF16,NTRK2
63,FGF21,NTRK2
64,FGF20,NTRK2
65,FGF23,NTRK2
66,PGF,NTRK2
67,FGF3,EPHA3
68,IGF1,EPHA3
69,IGF2,EPHA3
70,FLT3LG,EPHA3
71,KITLG,EPHA3
72,EGF,EPHA3
73,NGF,EPHA3
74,TGFA,EPHA3
75,CSF1,EPHA3
76,HGF,EPHA3
77,INS,EPHA3
78,AREG,EPHA3
79,PDGFC,EPHA3
80,PDGFA,EPHA3
81,PDGFB,EPHA3
82,FGF1,EPHA3
83,FGF2,EPHA3
84,FGF4,EPHA3
85,FGF7,EPHA3
86,FGF8,EPHA3
87,FGF9,EPHA3
88,FGF10,EPHA3
89,VEGFB,EPHA3
90,EFNA1,EPHA3
91,EFNA2,EPHA3
92,EFNA5,EPHA3
93,EFNA3,EPHA3
94,EFNA4,EPHA3
95,EFNB2,EPHA3
96,ANGPT2,EPHA3
97,ANGPT1,EPHA3
98,ANGPT4,EPHA3
99,PDGFD,EPHA3
100,FGF6,EPHA3
101,FGF17,EPHA3
102,FGF18,EPHA3
103,FGF22,EPHA3
104,BDNF,EPHA3
105,NTF3,EPHA3
106,EREG,EPHA3
107,VEGFA,EPHA3
108,VEGFC,EPHA3
109,VEGFD,EPHA3
110,NTF4,EPHA3
111,FGF5,EPHA3
112,FGF19,EPHA3
113,FGF16,EPHA3
114,FGF21,EPHA3
115,FGF20,EPHA3
116,FGF23,EPHA3
117,PGF,EPHA3
118,FGF3,EPHA4
119,IGF1,EPHA4
120,IGF2,EPHA4
121,FLT3LG,EPHA4
122,KITLG,EPHA4
123,EGF,EPHA4
124,NGF,EPHA4
125,TGFA,EPHA4
126,CSF1,EPHA4
127,HGF,EPHA4
128,INS,EPHA4
129,AREG,EPHA4
130,PDGFC,EPHA4
131,PDGFA,EPHA4
132,PDGFB,EPHA4
133,FGF1,EPHA4
134,FGF2,EPHA4
135,FGF4,EPHA4
136,FGF7,EPHA4
137,FGF8,EPHA4
138,FGF9,EPHA4
139,FGF10,EPHA4
140,VEGFB,EPHA4
141,EFNA1,EPHA4
142,EFNA2,EPHA4
143,EFNA5,EPHA4
144,EFNB3,EPHA4
145,EFNA3,EPHA4
146,EFNA4,EPHA4
147,EFNB2,EPHA4
148,ANGPT2,EPHA4
149,ANGPT1,EPHA4
150,ANGPT4,EPHA4
151,PDGFD,EPHA4
152,FGF6,EPHA4
153,FGF17,EPHA4
154,FGF18,EPHA4
155,FGF22,EPHA4
156,FGFR3,EPHA4
157,BDNF,EPHA4
158,NTF3,EPHA4
159,EFNB1,EPHA4
160,EREG,EPHA4
161,VEGFA,EPHA4
162,VEGFC,EPHA4
163,VEGFD,EPHA4
164,NTF4,EPHA4
165,FGFR4,EPHA4
166,FGF5,EPHA4
167,FGF19,EPHA4
168,FGF16,EPHA4
169,FGF21,EPHA4
170,FGF20,EPHA4
171,FGF23,EPHA4
172,PGF,EPHA4
